

-- Histograms -----------------------------------------------------------------


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=3, min=6, max=124, mean=45.33333333333333, stddev=68.12733176437584, p50=6.0, p75=124.0, p95=124.0, p98=124.0, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=38, min=1, max=124, mean=7.447368421052633, stddev=19.45847604991002, p50=4.0, p75=5.25, p95=11.899999999999665, p98=124.0, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=38, min=1, max=124, mean=7.447368421052633, stddev=19.45847604991002, p50=4.0, p75=5.25, p95=11.899999999999665, p98=124.0, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=43, min=1, max=124, mean=6.97674418604651, stddev=18.314044015315297, p50=4.0, p75=5.0, p95=6.0, p98=124.0, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=43, min=1, max=124, mean=6.97674418604651, stddev=18.314044015315297, p50=4.0, p75=5.0, p95=6.0, p98=124.0, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=48, min=1, max=124, mean=6.583333333333336, stddev=17.35343896671871, p50=4.0, p75=5.0, p95=6.0, p98=124.0, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=48, min=1, max=124, mean=6.583333333333336, stddev=17.35343896671871, p50=4.0, p75=5.0, p95=6.0, p98=124.0, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=53, min=0, max=124, mean=6.226415094339619, stddev=16.543231836422233, p50=4.0, p75=5.0, p95=6.0, p98=114.5600000000002, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=53, min=0, max=124, mean=6.226415094339619, stddev=16.543231836422233, p50=4.0, p75=5.0, p95=6.0, p98=114.5600000000002, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=58, min=0, max=124, mean=6.034482758620693, stddev=15.815787712151366, p50=4.0, p75=5.0, p95=6.0, p98=102.76000000000003, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=58, min=0, max=124, mean=6.034482758620693, stddev=15.815787712151366, p50=4.0, p75=5.0, p95=6.0, p98=102.76000000000003, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=63, min=0, max=124, mean=5.730158730158728, stddev=15.20314732823686, p50=4.0, p75=5.0, p95=6.0, p98=90.95999999999987, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=63, min=0, max=124, mean=5.730158730158728, stddev=15.20314732823686, p50=4.0, p75=5.0, p95=6.0, p98=90.95999999999987, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=68, min=0, max=124, mean=5.51470588235294, stddev=14.646575318787667, p50=4.0, p75=5.0, p95=6.0, p98=79.16000000000054, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=68, min=0, max=124, mean=5.51470588235294, stddev=14.646575318787667, p50=4.0, p75=5.0, p95=6.0, p98=79.16000000000054, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=73, min=0, max=124, mean=5.287671232876709, stddev=14.156348646509166, p50=4.0, p75=5.0, p95=6.0, p98=67.35999999999953, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=73, min=0, max=124, mean=5.287671232876709, stddev=14.156348646509166, p50=4.0, p75=5.0, p95=6.0, p98=67.35999999999953, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=78, min=0, max=124, mean=5.064102564102561, stddev=13.71825946287075, p50=4.0, p75=5.0, p95=6.0, p98=55.5600000000002, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=78, min=0, max=124, mean=5.064102564102561, stddev=13.71825946287075, p50=4.0, p75=5.0, p95=6.0, p98=55.5600000000002, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=83, min=0, max=124, mean=4.903614457831326, stddev=13.310196401247733, p50=3.0, p75=4.0, p95=6.0, p98=43.759999999999195, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=83, min=0, max=124, mean=4.903614457831326, stddev=13.310196401247733, p50=3.0, p75=4.0, p95=6.0, p98=43.759999999999195, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=88, min=0, max=124, mean=4.670454545454545, stddev=12.957686744478165, p50=3.0, p75=4.0, p95=6.0, p98=31.959999999999866, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=88, min=0, max=124, mean=4.670454545454545, stddev=12.957686744478165, p50=3.0, p75=4.0, p95=6.0, p98=31.959999999999866, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=93, min=-1, max=124, mean=4.526881720430104, stddev=12.620369489052447, p50=3.0, p75=4.0, p95=6.0, p98=20.160000000000537, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=93, min=-1, max=124, mean=4.526881720430104, stddev=12.620369489052447, p50=3.0, p75=4.0, p95=6.0, p98=20.160000000000537, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=98, min=-2, max=124, mean=4.265306122448983, stddev=12.347670609995708, p50=3.0, p75=4.0, p95=6.0, p98=8.35999999999953, p99=124.0, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=98, min=-2, max=124, mean=4.265306122448983, stddev=12.347670609995708, p50=3.0, p75=4.0, p95=6.0, p98=8.35999999999953, p99=124.0, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=103, min=-2, max=124, mean=4.097087378640778, stddev=12.072099223778807, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=119.27999999999926, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=103, min=-2, max=124, mean=4.097087378640778, stddev=12.072099223778807, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=119.27999999999926, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=108, min=-2, max=124, mean=3.9722222222222174, stddev=11.803261337153653, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=113.3799999999996, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=108, min=-2, max=124, mean=3.9722222222222174, stddev=11.803261337153653, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=113.3799999999996, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=113, min=-2, max=124, mean=3.858407079646021, stddev=11.55025297855075, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=107.47999999999993, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=113, min=-2, max=124, mean=3.858407079646021, stddev=11.55025297855075, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=107.47999999999993, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=118, min=-2, max=124, mean=3.686440677966107, stddev=11.331598021403376, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=101.58000000000027, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=118, min=-2, max=124, mean=3.686440677966107, stddev=11.331598021403376, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=101.58000000000027, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=123, min=-2, max=124, mean=3.50406504065041, stddev=11.133595580633964, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=95.6800000000006, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=123, min=-2, max=124, mean=3.50406504065041, stddev=11.133595580633964, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=95.6800000000006, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-2, max=124, mean=3.3515625, stddev=10.939050789946966, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=89.77999999999926, p999=124.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-2, max=124, mean=3.3515625, stddev=10.939050789946966, p50=3.0, p75=4.0, p95=6.0, p98=6.0, p99=89.77999999999926, p999=124.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=2.1796875, stddev=2.078891261695223, p50=2.0, p75=4.0, p95=5.0, p98=6.0, p99=6.0, p999=6.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=2.1796875, stddev=2.078891261695223, p50=2.0, p75=4.0, p95=5.0, p98=6.0, p99=6.0, p999=6.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=1.9375, stddev=2.057251434454945, p50=2.0, p75=3.75, p95=5.0, p98=5.420000000000002, p99=6.0, p999=6.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=1.9375, stddev=2.057251434454945, p50=2.0, p75=3.75, p95=5.0, p98=5.420000000000002, p99=6.0, p999=6.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=1.7109375, stddev=2.0929290169708907, p50=2.0, p75=3.0, p95=5.0, p98=5.0, p99=5.709999999999994, p999=6.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-3, max=6, mean=1.7109375, stddev=2.0929290169708907, p50=2.0, p75=3.0, p95=5.0, p98=5.0, p99=5.709999999999994, p999=6.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-3, max=5, mean=1.5, stddev=2.0885891708063244, p50=2.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-3, max=5, mean=1.5, stddev=2.0885891708063244, p50=2.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=1.28125, stddev=2.1551531359441904, p50=2.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=1.28125, stddev=2.1551531359441904, p50=2.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.570f707193e0fe32f4d86d067aba243b.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=1.078125, stddev=2.2009639083783843, p50=1.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0
l<host>.taskmanager.9a462639-db49-4f96-a9d4-808360dbd916.LearnMetric.latency.source_id.cbc357ccb763df2852fee8c4fc7d55f2.source_subtask_index.0.operator_id.b728d985904d42b0fdd945a9e3253fca.operator_subtask_index.0.latency: count=128, min=-5, max=5, mean=1.078125, stddev=2.2009639083783843, p50=1.0, p75=3.0, p95=4.549999999999997, p98=5.0, p99=5.0, p999=5.0


-- Histograms -----------------------------------------------------------------
